no_correlativo,inicio_paletizado,fin_paletizado,carga_EXPO_lista_rampa,inicio_despaletizado,fin_despaletizado,hora_asegurado,compartimientos_abiertos,inicio_descarga,fin_descarga,inicio_cargado,fin_cargado,compartimientos_cerrados,puerta_cerrada,hora_retro_empuje,hora_despegue,hora_aterrizaje,fin_limpieza_cabina,cierre_vuelo_mostrador,primer_equipaje_faja,ultimo_equipaje_faja,inicio_limpieza_cabina
63,,,,,,10:34:00,10:40:00,10:42:00,11:07:00,12:35:00,13:50:00,13:52:00,13:55:00,13:58:00,14:08:00,10:25:00,11:28:00,13:06:00,10:50:00,11:05:00,10:55:00
65,,,,,,10:50:00,10:53:00,10:57:00,11:20:00,12:20:00,13:50:00,13:55:00,13:54:00,13:59:00,14:20:00,10:39:00,12:10:00,13:09:00,11:06:00,11:17:00,11:20:00
66,,,,,,11:03:00,11:04:00,11:05:00,11:20:00,12:40:00,13:45:00,13:55:00,13:58:00,14:02:00,14:20:00,10:58:00,12:25:00,13:20:00,11:15:00,11:30:00,11:25:00
67,,,,,,10:32:00,10:35:00,10:39:00,11:00:00,12:15:00,13:50:00,13:51:00,13:56:00,13:58:00,14:19:00,10:27:00,11:56:00,12:52:00,10:55:00,11:17:00,10:59:00
68,,,,,,11:20:00,11:21:00,11:24:00,11:38:00,12:50:00,13:55:00,14:01:00,14:08:00,14:10:00,14:10:00,11:20:00,12:30:00,13:11:00,11:33:00,11:42:00,11:34:00
71,,,,,,10:31:00,10:34:00,10:36:00,10:55:00,12:15:00,13:44:00,13:46:00,13:49:00,13:53:00,14:07:00,10:27:00,11:47:00,13:10:00,10:53:00,11:05:00,11:13:00
73,,,,,,10:30:00,10:31:00,10:34:00,10:43:00,12:26:00,13:55:00,14:02:00,14:08:00,14:09:00,14:22:00,10:25:00,11:30:00,13:23:00,10:38:00,10:49:00,10:49:00
74,,,,,,10:37:00,10:38:00,10:40:00,10:53:00,12:35:00,13:30:00,13:56:00,13:58:00,14:02:00,14:20:00,10:35:00,11:45:00,13:00:00,10:50:00,11:05:00,11:00:00
75,,,,,,10:31:00,10:32:00,10:33:00,10:52:00,12:35:00,13:45:00,13:55:00,13:52:00,13:57:00,14:15:00,10:28:00,11:35:00,13:10:00,10:45:00,11:58:00,10:57:00
76,,,,,,10:34:00,10:37:00,10:38:00,10:56:00,12:30:00,13:50:00,13:52:00,13:53:00,13:56:00,14:15:00,10:27:00,11:55:00,13:03:00,10:49:00,11:05:00,11:02:00
77,,,,,,10:45:00,10:48:00,10:50:00,11:10:00,12:30:00,13:50:00,13:54:00,13:54:00,14:02:00,14:32:00,10:39:00,12:08:00,13:09:00,10:59:00,11:20:00,11:16:00
78,,,,,,10:38:00,10:40:00,10:41:00,11:05:00,12:35:00,13:45:00,13:55:00,14:00:00,14:05:00,14:20:00,10:37:00,11:50:00,13:02:00,10:53:00,11:10:00,11:10:00
81,,,,,,10:39:00,10:43:00,11:45:00,11:05:00,12:30:00,13:45:00,13:46:00,13:53:00,13:55:00,13:15:00,10:33:00,12:08:00,13:03:00,10:52:00,11:13:00,11:08:00
82,,,,,,11:08:00,11:09:00,11:12:00,11:22:00,12:30:00,13:47:00,13:50:00,13:52:00,13:55:00,14:09:00,10:57:00,12:00:00,13:00:00,11:18:00,11:28:00,11:25:00
83,,,,,,10:35:00,10:40:00,10:43:00,10:55:00,12:10:00,13:40:00,13:50:00,13:52:00,13:54:00,14:14:00,10:30:00,11:27:00,13:04:00,10:51:00,11:00:00,11:00:00
85,,,,,,10:38:00,10:39:00,10:40:00,11:05:00,12:40:00,13:40:00,13:52:00,13:54:00,13:58:00,14:20:00,10:35:00,11:35:00,13:00:00,10:52:00,11:03:00,10:50:00
86,,,,,,10:45:00,10:48:00,10:50:00,11:05:00,12:30:00,13:40:00,13:43:00,13:48:00,13:51:00,14:07:00,10:35:00,12:10:00,13:04:00,11:00:00,11:15:00,11:27:00
87,,,,,,10:59:00,11:02:00,11:04:00,11:13:00,12:30:00,13:40:00,13:44:00,13:43:00,13:50:00,14:15:00,10:50:00,11:36:00,,10:59:00,11:20:00,11:13:00
147,,,,,,,06:32:00,,,06:42:00,06:50:00,06:55:00,,,,,,,,,
148,00:00:00,23:59:00,,13:20:00,15:20:00,13:04:00,13:10:00,13:12:00,13:18:00,14:30:00,14:40:00,14:41:00,14:43:00,14:45:00,15:00:00,13:01:00,13:20:00,,,,
149,,,,,,,,,,06:40:00,07:20:00,07:23:00,,,,,,,,,
150,,,,,,,06:45:00,,,06:50:00,07:05:00,07:10:00,,,,,,,,,
152,,,,,,,,,,06:40:00,07:20:00,07:23:00,,,,,,,,,
153,,,,,,,06:30:00,,,06:33:00,06:58:00,07:00:00,,,,,,,,,
157,,,06:30:00,,,,,,,06:30:00,07:00:00,07:00:00,07:00:00,,07:10:00,,,,,,
158,,,,,,,,,,10:45:00,07:10:00,,,,,,,,,,
159,,,,,,,,,,06:30:00,07:00:00,07:03:00,,,,,,,,,
160,,,,,,,,,,06:30:00,07:00:00,07:03:00,,,,,,,,,
161,,,,,,,,,,06:30:00,07:10:00,,,,,,,,,,
164,,,,,,,12:45:00,12:47:00,13:05:00,,,13:15:00,,,,,,,,,
165,,,,,,,13:05:00,13:20:00,13:40:00,,,,,,,,,,,,
166,00:00:00,,,,,,13:20:00,13:22:00,13:52:00,,,,,,,,,,,,
167,,,,,,,13:00:00,13:05:00,13:35:00,,,,,,,,,,,,
168,,,,,,,,12:40:00,13:10:00,,,,,,,,,,,,
169,,,,,,,12:38:00,12:40:00,13:10:00,,,,,,,,,,,,
174,,,,,,,13:08:00,13:09:00,13:45:00,,,,,,,,,,,,
175,,,,,,,12:50:00,12:55:00,13:30:00,,,,,,,,,,,,
176,,,,,,,12:58:00,13:00:00,13:45:00,,,,,,,,,,,,
177,,,,,,,13:00:00,13:05:00,13:40:00,,,,,,,,,,,,
178,,,,,,,12:50:00,12:52:00,13:20:00,,,,,,,,,,,,
185,00:00:00,23:59:00,01:00:00,,,00:06:00,00:08:00,00:15:00,00:37:00,00:42:00,01:15:00,01:20:00,01:21:00,01:28:00,01:38:00,00:03:00,,,,,
186,00:00:00,23:59:00,01:10:00,,,00:15:00,00:17:00,00:26:00,00:46:00,00:50:00,01:22:00,01:26:00,01:30:00,01:33:00,01:45:00,00:12:00,,,,,
202,00:00:00,23:59:00,11:00:00,,,11:42:00,11:47:00,11:25:00,12:15:00,12:16:00,12:53:00,12:55:00,13:02:00,13:08:00,13:22:00,11:26:00,,,,,
203,00:00:00,23:59:00,09:10:00,10:00:00,11:15:00,09:40:00,09:43:00,09:50:00,10:11:00,10:12:00,10:31:00,10:34:00,10:45:00,10:52:00,11:02:00,09:29:00,10:00:00,,,,
204,00:00:00,23:59:00,09:15:00,,,09:54:00,09:57:00,10:05:00,10:25:00,10:26:00,10:38:00,10:41:00,10:48:00,10:53:00,11:08:00,09:45:00,,,,,
221,00:00:00,23:59:00,09:30:00,00:00:00,23:59:00,09:50:00,11:03:00,10:03:00,10:21:00,10:21:00,10:40:00,11:03:00,11:04:00,11:22:00,11:35:00,09:40:00,00:00:00,,,,
222,00:00:00,23:59:00,09:15:00,09:45:00,11:30:00,09:29:00,09:32:00,09:39:00,09:50:00,09:51:00,10:10:00,10:18:00,10:24:00,10:39:00,10:49:00,09:19:00,09:45:00,,,,
223,00:00:00,03:59:00,08:55:00,09:40:00,11:30:00,09:20:00,09:25:00,09:38:00,09:26:00,09:57:00,10:15:00,10:18:00,10:22:00,10:44:00,11:03:00,09:07:00,09:40:00,,,,
287,00:00:00,23:59:00,02:00:00,02:35:00,,02:35:00,02:39:00,02:50:00,03:08:00,03:10:00,03:50:00,03:52:00,03:55:00,04:02:00,04:12:00,02:33:00,02:35:00,,,,
288,00:00:00,23:59:00,02:00:00,,,00:55:00,00:57:00,01:06:00,01:25:00,02:15:00,02:50:00,02:55:00,02:56:00,02:58:00,03:05:00,00:52:00,,,,,
