no_correlativo,fase_1,fase_2,fase_3,fase_4,fase_5,fase_6,fase_7,fase_8,fase_9,fase_10,iniciada
63,False,False,False,False,False,False,False,False,False,False,True
74,False,False,False,False,False,False,False,False,False,False,True
791,False,False,False,False,False,False,False,False,False,False,True
2403,False,False,False,False,False,False,False,False,False,False,True
3039,False,False,False,False,False,False,False,False,False,False,True
3733,False,False,False,False,False,False,False,False,False,False,True
3749,False,False,False,False,False,False,False,False,False,False,True
3812,False,False,False,False,False,False,False,False,False,False,True
3829,False,False,False,False,False,False,False,False,False,False,True
3833,False,False,False,False,False,False,False,False,False,False,True
3838,False,False,False,False,False,False,False,False,False,False,True
3884,True,True,True,True,False,True,True,True,True,True,True
3885,True,False,False,False,False,False,False,False,False,False,True
3924,False,False,False,False,False,False,False,False,False,False,True
3925,False,False,False,False,False,False,False,False,False,False,True
3926,False,False,False,False,False,False,False,False,False,False,True
3929,False,False,False,False,False,False,False,False,False,False,True
3941,False,False,False,False,False,False,False,False,False,False,True
3961,False,False,False,False,False,False,False,False,False,False,True
4051,False,False,False,False,False,False,False,False,False,False,True
4187,False,False,False,False,False,False,False,False,False,False,True
4248,False,False,False,False,False,False,False,False,False,False,True
4327,True,True,True,True,True,True,True,True,True,True,True
4425,False,False,False,False,False,False,False,False,True,False,True
4426,False,False,False,False,False,True,False,False,False,False,True
4427,False,False,False,False,False,True,False,False,False,False,True
4432,False,False,False,False,False,False,False,False,False,False,True
4433,False,False,False,False,False,True,False,False,False,False,True
4440,False,False,False,False,False,True,False,False,False,False,True
4441,False,False,False,False,False,True,False,False,False,False,True
4443,False,False,False,False,False,True,False,False,False,False,True
4444,False,False,False,False,False,False,False,False,False,False,True
4445,False,False,False,False,False,True,False,False,False,False,True
4458,True,False,False,False,False,True,False,False,False,False,True
4464,False,False,False,False,False,True,False,False,False,False,True
4466,False,False,False,False,False,False,False,False,False,False,True
4473,False,False,False,False,False,True,False,False,False,False,True
4506,False,False,False,False,False,False,False,False,False,False,True
4538,False,False,False,False,False,False,False,False,False,False,True
4595,False,False,False,False,False,False,False,False,False,False,True
4599,True,False,False,False,False,False,False,False,False,False,True
4633,False,False,False,False,False,False,False,False,False,False,True
