no_correlativo,year,dia,mes,departamento,origen,destino,hora_ingreso,hora_egreso,no_vuelo,operador,tipo_operacion,fecha,borrar,tipo_aeronave,puerta,matricula
1,2022,3,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
2,2022,10,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
3,2022,17,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
4,2022,24,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
5,2022,31,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
6,2022,4,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
7,2022,11,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
8,2022,18,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
9,2022,25,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
10,2022,5,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
11,2022,12,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
12,2022,19,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
13,2022,26,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
14,2022,6,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
15,2022,13,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
16,2022,20,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
17,2022,27,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
18,2022,7,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
19,2022,14,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
20,2022,21,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
21,2022,28,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
22,2022,8,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
23,2022,15,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
24,2022,22,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
25,2022,29,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
26,2022,9,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
27,2022,16,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
28,2022,23,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
29,2022,30,3,CCO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
30,2022,3,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
31,2022,10,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
32,2022,17,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
33,2022,24,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
34,2022,31,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
35,2022,4,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
36,2022,11,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
37,2022,18,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
38,2022,25,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
39,2022,5,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
40,2022,12,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
41,2022,19,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
42,2022,26,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
43,2022,6,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
44,2022,13,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
45,2022,20,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
46,2022,27,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
47,2022,7,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
48,2022,14,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
49,2022,21,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
50,2022,28,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
51,2022,8,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
52,2022,15,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
53,2022,22,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
54,2022,29,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
55,2022,9,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
56,2022,16,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
57,2022,23,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
58,2022,30,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
60,2022,1,3,PXS,PTY,PTY,10:42:00,14:02:00,407,COPA,TRANSITO,2022-03-01T00:00:00.0000000,False,B737-800,12,HP-1842
61,2022,1,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-01T00:00:00.0000000,False,B737-800,12,
62,2022,1,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-01T00:00:00.0000000,False,B737-800,12,HP-1856
63,2022,1,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-01T00:00:00.0000000,False,B737-800,12,HP-1721
65,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,HP-1833
66,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,HP-1847
67,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,
68,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,407,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,HP-1841
69,2022,3,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,B737-800,12,
71,2022,3,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,B737-800,12,
73,2022,3,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,B737-800,12,
74,2022,4,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-04T00:00:00.0000000,False,B737-800,12,HP-1854
75,2022,4,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-04T00:00:00.0000000,False,B737-700,12,HP-1525
76,2022,4,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-04T00:00:00.0000000,False,B737-800,12,HP-1538
77,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,407,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,HP-1526
78,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,HP-1538
81,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,HP-1831
82,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,
83,2022,6,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-06T00:00:00.0000000,False,B737-800,12,HP-1727
85,2022,6,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-06T00:00:00.0000000,False,B737-700,12,
86,2022,6,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-06T00:00:00.0000000,False,B737-700,12,
