id_parametro,crew_chief_inicio,crew_chief_final,operador_inicio,operador_final,agente_rampa_inicio,agente_rampa_final,agente_mostrador_inicio,agente_mostrador_final,agente_fajas_inicio,agente_fajas_final,agente_rayos_x_inicio,agente_rayos_x_final,agente_limpieza_inicio,agente_limpieza_final
1,-75,10,-75,10,-70,10,-180,-60,0,0,-180,-60,0,0
2,-15,10,-15,10,-10,10,-180,-60,8,30,-180,-60,15,25
3,-15,80,-15,80,-10,30,0,0,8,30,0,0,30,75
4,-15,10,-15,10,-10,10,-180,-60,8,25,-180,-60,15,25
5,-75,10,-75,10,-70,10,-180,-60,0,0,-180,-60,0,0
6,-15,80,-15,80,-10,30,0,0,8,25,0,0,30,75
7,-15,10,-15,10,-10,10,-180,-60,8,25,-180,-60,15,25
8,-15,10,-15,10,-10,10,-180,-60,8,25,-180,-60,15,25
9,-15,10,-15,10,-10,10,-180,-60,8,25,-180,-60,15,25
10,-60,10,-60,10,-60,10,-180,-60,0,0,-180,-60,0,0
11,-15,60,-15,60,-10,30,0,0,5,15,0,0,30,60
